iter,elapsed_time,obj,gradnorm,eval,grad
1,0.32160704099806026,0.11413330528846387,0.009838377398182484,0,2
2,0.5054347089899238,0.041194767693773,0.00391735810585038,0,3
4,0.5981043329811655,0.034210140466270106,0.00045975171166759237,0,5
8,0.917904041998554,0.03375339619307429,0.0001860898713255745,0,9
16,1.5122259159979876,0.03255231650906433,0.0005653169539196041,0,17
32,3.247875125001883,0.0279608594149767,0.00044028423708472266,0,33
64,5.846296666975832,0.023993012024630785,0.0002827130852840589,0,67
128,11.25841058298829,0.020394541021923368,0.00026937632008466086,0,135
256,24.258658540988108,0.018217041630382624,0.0004531871532983116,0,274
512,48.12837291599135,0.016019376247073277,0.0010307854568086102,0,548
1024,93.14485250000143,0.014175656967894674,0.0015153324770587838,0,1105
